dataset,qid,domain,top_score,margin,prediction,cite_doc,cite_para
squad,5ad4ca235b96ef001a10a0b9,other,7.093421936035156,9.912008985877037,which subsequently fuses with another vesicle called a lysosome to form a phagolysosome.,Immune_system,10
squad,5a664314c2b11c001a425edc,history,5.781380653381348,16.055715560913086,who is trying to stop her from giving her brother Polynices a proper burial.,Civil_disobedience,1
squad,5ad4f7235b96ef001a10a7de,geography,5.601987838745117,7.258448421955109,Warsaw's first stock exchange was established in 1817 and continued trading until World War II.,Warsaw,32
squad,5ad0206677cf76001a686afb,geography,5.937155723571777,9.292017385363579,and music industry is centered on the Los Angeles in southern California.,Southern_California,6
squad,5ad40d50604f3c001a4000cb,history,6.626071929931641,13.663887858390808,When the Mongols placed the Uighurs of the Kingdom of Qocho over the Koreans at the court the Korean King objected,Yuan_dynasty,45
squad,5ad1556e645df0001a2d17dd,law,6.514822959899902,10.06048247218132,and misleading commercials for skin care products.,European_Union_law,32
squad,5a2c382dbfd06b001a5aea74,media,5.868617057800293,10.505861043930054,BSkyB's standard definition broadcasts are in DVB-compliant MPEG-2,Sky_(United_Kingdom),10
squad,5acfa23577cf76001a68562e,education,9.167266845703125,18.157890558242798,Goldman Sachs and MF Global CEO as well as former Governor of New Jersey Jon Corzine,University_of_Chicago,27
squad,5a66938ff038b7001ab0bffc,history,7.2023396492004395,17.398381233215332,the judge increased her sentence from 40 to 60 days.,Civil_disobedience,21
squad,5a3e5697378766001a002596,science,6.433414459228516,6.499035194516182,a study was published suggesting that temperatures and sea levels have been rising at or above the maximum rates proposed during the last IPCC report in 2001.,Intergovernmental_Panel_on_Climate_Change,17
squad,5a67986af038b7001ab0c313,education,6.7192583084106445,0.8321182727813721,Private fee-paying schools include parish schools run by the Roman Catholic Church and independent schools similar to British public schools.,Victoria_(Australia),10
squad,5ad25f82d7d075001a428f85,science,5.780027389526367,7.334138423204422,With modern insights into quantum mechanics and technology that can accelerate particles close to the speed of light,Force,1
